7.18	6.72
10.37	8.21
8.30	7.48
8.38	8.46
7.40	7.94
7.53	7.21
7.40	7.33
8.61	8.48
8.17	7.89
8.69	7.98
9.29	8.41
9.36	9.31
7.70	7.49
7.99	7.44
7.50	8.02
9.36	9.18
7.09	6.85
7.52	5.67
9.76	8.31
9.32	9.03
7.69	7.28
7.49	6.23
8.40	8.04
8.80	8.76
6.55	6.28
5.44	6.33
8.70	8.64
9.75	9.76
7.14	6.52
8.35	7.19
8.78	7.29
8.76	8.91
6.87	6.69
7.04	6.58
8.39	7.87
8.67	7.99
8.45	6.59
9.97	8.33
9.42	8.60
8.59	8.60
8.39	8.24
8.76	6.95
10.07	9.87
9.56	9.79
7.23	7.22
7.55	7.30
9.41	8.49
9.23	8.87
